onset	duration	sample	value	gid	imageid	buttonpressduration	reactiontime	imagecategory	cameradistance	imagelocation	imageclutter	luminance	tgtorientation	tgtocclusion	tgtcontrast	tgtsize	tgtdistfromcenter	numberoftargets	numberofclasses
323.134765625	n/a	330891	13210	2050	21227	0.0	0.0	6	2	1	2	167.438326	0	0	0	0.0	0.0	0	0
323.318359375	n/a	331079	13210	1677	20801	0.0	0.0	6	2	1	2	134.012268	0	0	0	0.0	0.0	0	0
323.501953125	n/a	331267	13210	2220	21401	0.0	0.0	6	2	1	2	148.071358	0	0	0	0.0	0.0	0	0
323.685546875	n/a	331455	13210	2025	21199	0.0	0.0	6	1	1	1	120.838489	0	0	0	0.0	0.0	0	0
323.869140625	n/a	331643	13210	1778	20911	0.0	0.0	6	1	1	2	101.535037	0	0	0	0.0	0.0	0	0
324.052734375	n/a	331831	13210	1602	20718	0.0	0.0	6	2	1	2	89.451446	0	0	0	0.0	0.0	0	0
324.2373046875	n/a	332020	13210	1419	20509	0.0	0.0	6	3	2	2	73.461904	0	0	0	0.0	0.0	0	0
324.4208984375	n/a	332208	13110	8269	10811	0.0	0.0	5	2	2	2	178.939918	0	2	1	0.467057	120.415946	1	1
324.6044921875	n/a	332396	13210	1579	20694	0.0	0.0	6	2	1	3	103.102545	0	0	0	0.0	0.0	0	0
324.7880859375	n/a	332584	13210	1647	20770	0.0	0.0	6	1	1	1	175.930548	0	0	0	0.0	0.0	0	0
324.8671875	n/a	332665	21131	8269	10811	0.0	0.4462890625	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
324.9716796875	n/a	332772	13210	1530	20642	0.0	0.0	6	2	1	2	66.729506	0	0	0	0.0	0.0	0	0
325.14453125	n/a	332949	21132	0	0	0.27734375	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
325.1552734375	n/a	332960	13210	1370	20456	0.0	0.0	6	3	2	3	81.614944	0	0	0	0.0	0.0	0	0
325.3388671875	n/a	333148	13210	1029	20040	0.0	0.0	6	1	1	2	145.115685	0	0	0	0.0	218.044407	0	0
325.5224609375	n/a	333336	13210	1679	20803	0.0	0.0	6	1	1	2	58.57479	0	0	0	0.0	0.0	0	0
325.7060546875	n/a	333524	13210	2005	21176	0.0	0.0	6	1	1	2	90.594767	0	0	0	0.0	0.0	0	0
325.8896484375	n/a	333712	13110	8066	10315	0.0	0.0	4	2	1	2	142.553135	0	4	2	0.009984	173.876393	4	3
326.0732421875	n/a	333900	13210	1918	21072	0.0	0.0	6	3	2	3	150.583115	0	0	0	0.0	0.0	0	0
326.2578125	n/a	334089	13210	2047	21224	0.0	0.0	6	3	1	3	59.400041	0	0	0	0.0	0.0	0	0
326.390625	n/a	334225	21131	8066	10315	0.0	0.5009765625	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
326.44140625	n/a	334277	13210	1481	20579	0.0	0.0	6	2	1	2	98.561171	0	0	0	0.0	0.0	0	0
326.625	n/a	334465	13210	2112	21293	0.0	0.0	6	3	1	2	133.354353	0	0	0	0.0	0.0	0	0
326.6630859375	n/a	334504	21132	0	0	0.2724609375	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
326.80859375	n/a	334653	13210	2215	21396	0.0	0.0	6	2	1	2	78.046274	0	0	0	0.0	0.0	0	0
326.9921875	n/a	334841	13210	2105	21286	0.0	0.0	6	3	1	2	97.47521	0	0	0	0.0	0.0	0	0
327.17578125	n/a	335029	13210	2476	21683	0.0	0.0	6	1	1	2	123.700735	0	0	0	0.0	0.0	0	0
327.359375	n/a	335217	13210	1050	20068	0.0	0.0	6	1	1	3	71.907186	0	0	0	0.0	0.0	0	0
327.54296875	n/a	335405	13210	1181	20241	0.0	0.0	6	2	1	2	170.841068	0	0	0	0.0	0.0	0	0
327.7265625	n/a	335593	13210	2078	21256	0.0	0.0	6	2	1	3	115.202001	0	0	0	0.0	0.0	0	0
327.91015625	n/a	335781	13210	2509	21717	0.0	0.0	6	2	1	2	60.817537	0	0	0	0.0	0.0	0	0
328.09375	n/a	335969	13210	1069	20095	0.0	0.0	6	1	1	3	134.611087	0	0	0	0.0	0.0	0	0
328.2783203125	n/a	336158	13210	1517	20629	0.0	0.0	6	1	1	2	132.455685	0	0	0	0.0	0.0	0	0
328.4619140625	n/a	336346	13210	1770	20902	0.0	0.0	6	1	1	2	38.55008	0	0	0	0.0	0.0	0	0
328.6455078125	n/a	336534	13210	1256	20326	0.0	0.0	6	2	1	2	91.228971	0	0	0	0.0	0.0	0	0
