onset	duration	code	trial_number
298.7859	0.0	1	25
298.7928	0.5	40	26
299.2928	0.25	30	26
299.5428	0.475	11	26
300.0129	0.0	1	26
300.0178	0.5	40	27
300.5178	0.25	30	27
300.7678	0.3333	11	27
301.0899	0.0	1	27
301.1011	0.5	40	28
301.6011	0.25	30	28
301.8512	0.5167	12	28
302.3599	0.0	2	28
302.3678	0.5	40	29
302.8678	0.25	30	29
303.1178	0.3	212	29
303.4178	0.0417	222	29
303.4498	0.0	2	29
303.4595	0.5	40	30
303.9595	0.25	30	30
304.2095	0.3167	12	30
304.5198	0.0	2	30
304.5262	0.5	40	31
305.0262	0.25	30	31
305.2762	0.3167	12	31
305.5828	0.0	2	31
305.5929	0.5	40	32
306.0929	0.25	30	32
306.3429	0.25	211	32
306.5929	1.0	221	32
307.5929	0.5	40	33
308.0929	0.25	30	33
308.3429	0.4333	12	33
308.7658	0.0	2	33
308.7762	0.5	40	34
309.2762	0.25	30	34
309.5262	0.4167	11	34
309.9387	0.0	1	34
309.9429	0.5	40	35
310.4429	0.25	30	35
310.6929	0.5	11	35
311.1827	0.0	1	35
311.1929	0.5	40	36
311.6929	0.25	30	36
311.9429	0.4583	11	36
312.3967	0.0	1	36
312.4013	0.5	40	37
312.9013	0.25	30	37
313.1513	0.4833	12	37
313.6237	0.0	2	37
313.6346	0.5	40	38
314.1346	0.25	30	38
314.3846	0.4	12	38
314.7776	0.0	2	38
314.7846	0.5	40	39
315.2846	0.25	30	39
315.5347	0.3	212	39
315.8347	0.95	222	39
316.7847	0.5	40	40
317.2847	0.25	30	40
317.5347	0.35	211	40
317.8847	0.0167	221	40
317.8896	0.0	1	40
317.9014	0.5	40	41
318.4014	0.25	30	41
318.6514	0.5583	11	41
319.2026	0.0	1	41
319.2097	0.5	40	42
319.7097	0.25	30	42
319.9597	0.5333	11	42
320.4846	0.0	2	42
320.493	0.5	40	43
320.9931	0.25	30	43
321.2431	0.3	212	43
321.5431	0.0833	222	43
321.6185	0.0	2	43
321.6264	0.5	40	44
322.1264	0.25	30	44
322.3764	0.3667	11	44
322.7336	0.0	1	44
322.7431	0.5	40	45
323.2431	0.25	30	45
323.4931	0.25	211	45
323.7431	0.1167	221	45
323.8485	0.0	1	45
323.8598	0.5	40	46
324.3598	0.25	30	46
324.6098	0.5	12	46
325.1025	0.0	2	46
325.1098	0.5	40	47
325.6098	0.25	30	47
325.8598	0.6	12	47
326.4495	0.0	2	47
326.4598	0.5	40	48
326.9598	0.25	30	48
327.2098	0.325	12	48
327.5304	0.0	2	48
327.5348	0.5	40	49
328.0348	0.25	30	49
328.2848	0.2	211	49
328.4848	1.05	221	49
329.5348	0.5	40	50
330.0348	0.25	30	50
330.2848	0.3667	11	50
330.6444	0.0	1	50
330.6515	0.5	40	51
331.1515	0.25	30	51
331.4015	0.65	12	51
332.0444	0.0	2	51
332.0515	0.5	40	52
332.5515	0.25	30	52
332.8015	0.3667	12	52
333.1573	0.0	2	52
333.1682	0.5	40	53
333.6682	0.25	30	53
333.9182	0.575	12	53
334.4823	0.0	2	53
334.4932	0.5	40	54
334.9932	0.25	30	54
335.2432	0.5667	11	54
335.8043	0.0	1	54
