onset	duration	sample	value
361.5751953125	n/a	370254	1111
361.9853515625	n/a	370674	4220
362.4970703125	n/a	371198	4311
362.5634765625	n/a	371266	1112
365.39453125	n/a	374165	4210
365.6162109375	n/a	374392	4312
367.130859375	n/a	375943	4220
367.7421875	n/a	376569	4210
368.525390625	n/a	377371	3200
368.984375	n/a	377841	2621
370.0009765625	n/a	378882	1111
370.4560546875	n/a	379348	4311
370.4775390625	n/a	379370	1112
370.6728515625	n/a	379570	4220
371.8056640625	n/a	380730	4210
372.41796875	n/a	381357	4312
376.984375	n/a	386033	2622
377.0244140625	n/a	386074	1121
377.9013671875	n/a	386972	4230
378.001953125	n/a	387075	4311
378.068359375	n/a	387143	1122
381.6123046875	n/a	390772	4210
381.751953125	n/a	390915	4312
383.7236328125	n/a	392934	1121
384.4345703125	n/a	393662	4230
384.53515625	n/a	393765	4311
384.5908203125	n/a	393822	1122
386.8701171875	n/a	396156	4210
388.302734375	n/a	397623	4220
388.71484375	n/a	398045	4210
391.5068359375	n/a	400904	4312
392.3525390625	n/a	401770	1111
392.7412109375	n/a	402168	4220
393.0869140625	n/a	402522	4311
393.130859375	n/a	402567	1112
395.298828125	n/a	404787	1311
395.4423828125	n/a	404934	1312
395.482421875	n/a	404975	4210
397.322265625	n/a	406859	1311
397.453125	n/a	406993	1312
397.48828125	n/a	407029	4312
400.005859375	n/a	409607	1121
400.4501953125	n/a	410062	1311
400.59765625	n/a	410213	1312
400.8056640625	n/a	410426	4311
400.8603515625	n/a	410482	1122
401.0947265625	n/a	410722	4230
402.8203125	n/a	412489	4210
404.14453125	n/a	413845	4312
404.4765625	n/a	414185	4220
406.166015625	n/a	415915	4210
406.845703125	n/a	416611	1111
407.30078125	n/a	417077	4220
407.7783203125	n/a	417566	4311
407.8447265625	n/a	417634	1112
408.7177734375	n/a	418528	1311
408.8134765625	n/a	418626	1312
408.990234375	n/a	418807	3200
409.234375	n/a	419057	2621
410.3642578125	n/a	420214	4210
411.7490234375	n/a	421632	1311
411.8759765625	n/a	421762	1312
412.46875	n/a	422369	4220
413.7451171875	n/a	423676	4210
413.986328125	n/a	423923	4312
417.734375	n/a	427761	2622
420.900390625	n/a	431003	1111
421.4892578125	n/a	431606	4220
421.8564453125	n/a	431982	4311
421.9228515625	n/a	432050	1112
424.521484375	n/a	434711	4210
