onset	duration	sample	value	gid
1072.8759765625	n/a	1098626	1311	1139
1077.5361328125	n/a	1103398	2110	0
1078.140625	n/a	1104017	1312	1139
1078.140625	n/a	1104017	1311	1097
1082.5439453125	n/a	1108526	2110	0
1083.111328125	n/a	1109107	1312	1097
1083.111328125	n/a	1109107	1311	1021
1086.1220703125	n/a	1112190	2110	0
1086.69140625	n/a	1112773	1312	1021
1086.69140625	n/a	1112773	1341	4041
1094.935546875	n/a	1121215	2120	0
1097.765625	n/a	1124113	1342	4041
1097.765625	n/a	1124113	1311	1038
1104.1591796875	n/a	1130660	2110	0
1104.7431640625	n/a	1131258	1312	1038
1104.7431640625	n/a	1131258	1311	1217
1109.6064453125	n/a	1136238	2110	0
1110.17578125	n/a	1136821	1312	1217
1110.17578125	n/a	1136821	1321	4000
1115.201171875	n/a	1141967	2110	0
1115.8037109375	n/a	1142584	1322	4000
1115.8037109375	n/a	1142584	1311	1106
1121.9365234375	n/a	1148864	2110	0
1122.5361328125	n/a	1149478	1312	1106
1122.5361328125	n/a	1149478	1311	1094
1127.8056640625	n/a	1154874	2110	0
1128.3798828125	n/a	1155462	1312	1094
1128.3798828125	n/a	1155462	1331	4027
1132.5205078125	n/a	1159702	2110	0
1133.1064453125	n/a	1160302	1332	4027
1133.1064453125	n/a	1160302	1311	1032
1136.765625	n/a	1164049	2110	0
1137.3818359375	n/a	1164680	1312	1032
1137.3818359375	n/a	1164680	1311	1158
1143.54296875	n/a	1170989	2110	0
1144.1337890625	n/a	1171594	1312	1158
1144.1337890625	n/a	1171594	1311	1025
1149.541015625	n/a	1177131	2110	0
1150.1171875	n/a	1177721	1312	1025
1150.1171875	n/a	1177721	1331	4023
1156.5009765625	n/a	1184258	2120	0
1159.029296875	n/a	1186847	1332	4023
1159.029296875	n/a	1186847	1311	1008
1163.7646484375	n/a	1191696	2110	0
1198.8212890625	n/a	1227594	1312	1008
1198.8212890625	n/a	1227594	1311	1146
1206.3466796875	n/a	1235300	2110	0
1206.91796875	n/a	1235885	1312	1146
1206.91796875	n/a	1235885	1311	1068
1212.060546875	n/a	1241151	2110	0
1215.947265625	n/a	1245131	1312	1068
1215.947265625	n/a	1245131	1311	1236
1222.9140625	n/a	1252265	2110	0
1223.501953125	n/a	1252867	1312	1236
1223.501953125	n/a	1252867	1311	1112
1228.2421875	n/a	1257721	2110	0
1228.83984375	n/a	1258333	1312	1112
1228.83984375	n/a	1258333	1311	1145
1234.09765625	n/a	1263717	2110	0
1234.7021484375	n/a	1264336	1312	1145
1234.7021484375	n/a	1264336	1311	1142
1239.2421875	n/a	1268985	2110	0
1239.814453125	n/a	1269571	1312	1142
1239.814453125	n/a	1269571	1311	1048
1246.0732421875	n/a	1275980	2120	0
1255.62109375	n/a	1285757	1312	1048
1255.62109375	n/a	1285757	1242	0
